Default channel group,Date+hour,Users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per user,Events per session,Engagement rate,Event count
Referral,2027-08-12 00:00:00,3,2,1,62.88,1.62,7.37,0.59,17
Organic Search,2027-08-12 01:00:00,2,5,1,89.05,3.89,2.57,0.13,18
Email,2027-08-12 02:00:00,1,5,5,547.43,1.69,4.58,0.49,7
Display,2027-08-12 03:00:00,4,2,4,187.77,3.38,4.34,0.59,5
Direct,2027-08-12 04:00:00,1,4,5,352.69,2.8,3.73,0.89,3
Affiliates,2027-08-12 05:00:00,4,4,2,280.67,3.91,6.49,0.25,2
Email,2027-08-12 06:00:00,2,1,4,553.62,2.28,6.33,0.68,5
Referral,2027-08-12 07:00:00,4,4,1,148.57,4.48,2.09,0.64,14
Referral,2027-08-12 08:00:00,1,3,2,270.58,0.63,9.17,0.99,15
Email,2027-08-12 09:00:00,1,3,5,60.37,1.77,4.38,0.99,18
Email,2027-08-12 10:00:00,4,3,5,381.48,1.92,9.22,0.72,14
Direct,2027-08-12 11:00:00,3,2,5,532.8,1.74,8.05,0.38,16
Display,2027-08-12 12:00:00,1,3,4,190.33,2.18,7.95,0.83,17
Direct,2027-08-12 13:00:00,3,2,5,478.06,1.4,4.3,0.8,7
Organic Search,2027-08-12 14:00:00,3,1,2,89.68,4.66,4.05,0.62,3
Direct,2027-08-12 15:00:00,3,1,4,285.5,1.87,7.63,0.2,2
Social,2027-08-12 16:00:00,3,3,4,173.71,4.51,8.17,0.76,7
Affiliates,2027-08-12 17:00:00,1,2,2,404.34,0.84,2.43,0.14,4
Social,2027-08-12 18:00:00,1,3,1,416.54,2.61,1.81,0.48,11
Affiliates,2027-08-12 19:00:00,3,4,4,250.6,1.9,3.99,0.9,5
Paid Search,2027-08-12 20:00:00,1,2,2,207.2,3.9,2.04,0.35,14
Paid Search,2027-08-12 21:00:00,3,2,4,468.05,0.69,9.51,0.97,4
Direct,2027-08-12 22:00:00,3,2,1,330.21,4.02,3.64,0.9,19
Direct,2027-08-12 23:00:00,3,2,1,331.92,4.76,5.24,0.86,13
Display,2027-08-13 00:00:00,4,4,3,475.65,4.42,2.36,0.97,4
Referral,2027-08-13 01:00:00,2,3,4,376.49,4.58,3.03,0.9,9
Social,2027-08-13 02:00:00,1,1,4,97.97,4.75,6.83,0.98,1
Email,2027-08-13 03:00:00,1,5,2,73.82,1.16,9.75,0.99,10
Paid Search,2027-08-13 04:00:00,3,5,2,162,3.51,2.85,0.37,12
Affiliates,2027-08-13 05:00:00,4,2,3,226.77,1.35,1.55,0.6,5
Referral,2027-08-13 06:00:00,4,2,2,169.07,1.89,4.07,0.72,16
Direct,2027-08-13 07:00:00,1,1,1,150.1,1.39,4.01,0.37,1
Direct,2027-08-13 08:00:00,3,5,5,45.86,2.57,7.69,0.21,5
Direct,2027-08-13 09:00:00,1,2,4,314.37,4.25,8.82,0.86,7
Referral,2027-08-13 10:00:00,3,4,3,22.16,4.83,4.85,0.68,5
Paid Search,2027-08-13 11:00:00,3,5,4,314.89,2.09,1.25,0.99,12
Affiliates,2027-08-13 12:00:00,2,4,3,90.87,0.62,1.23,0.96,14
Affiliates,2027-08-13 13:00:00,3,1,5,525.87,1.65,3.95,0.25,3
Display,2027-08-13 14:00:00,2,1,3,241.98,2.42,1.01,0.38,18
Email,2027-08-13 15:00:00,1,5,3,466.43,1.66,5.48,0.6,19
Organic Search,2027-08-13 16:00:00,1,3,5,156.37,4.47,8.1,0.69,19
Referral,2027-08-13 17:00:00,4,5,2,594.91,2.06,3.16,0.89,6
Social,2027-08-13 18:00:00,2,4,1,278.54,2.67,6.51,0.86,8
Affiliates,2027-08-13 19:00:00,1,3,3,414.74,4.1,1.37,0.45,8
Email,2027-08-13 20:00:00,2,4,1,545.4,2.54,2.23,0.59,2
Organic Search,2027-08-13 21:00:00,1,4,3,183.29,3.26,1.73,0.73,10
Email,2027-08-13 22:00:00,2,4,5,245.48,4.47,3.8,0.41,15
Email,2027-08-13 23:00:00,2,2,1,396.18,3.89,6.91,0.5,2
Affiliates,2027-08-14 00:00:00,3,3,4,104.1,4.17,1.03,0.54,8
Affiliates,2027-08-14 01:00:00,1,2,1,423.95,0.68,8.69,0.76,1
Affiliates,2027-08-14 02:00:00,4,2,5,490.62,2.5,3.86,0.98,19
Paid Search,2027-08-14 03:00:00,3,4,2,364.67,1.86,7.64,0.49,6
Affiliates,2027-08-14 04:00:00,4,1,2,199.14,0.69,2.91,0.11,7
Social,2027-08-14 05:00:00,2,5,1,376.7,1.12,5.5,0.5,8
Referral,2027-08-14 06:00:00,3,1,5,533.83,1.72,4.43,0.48,6
Paid Search,2027-08-14 07:00:00,2,4,2,159.33,1.85,3.51,0.88,15
Direct,2027-08-14 08:00:00,1,5,2,523.64,2.64,3.83,0.56,5
Social,2027-08-14 09:00:00,1,5,2,442.86,4.85,6.25,0.63,15
Referral,2027-08-14 10:00:00,4,4,1,270.44,2.7,1.44,0.95,3
Social,2027-08-14 11:00:00,1,2,2,599.12,4,9.27,0.9,13
Email,2027-08-14 12:00:00,4,5,5,92.49,1.8,2.74,0.16,17
Referral,2027-08-14 13:00:00,2,5,5,266.16,2.18,8.63,0.68,17
Email,2027-08-14 14:00:00,3,5,4,423.72,4.55,8.33,0.14,17
Referral,2027-08-14 15:00:00,1,5,2,18.76,4.15,9.99,0.72,11
Paid Search,2027-08-14 16:00:00,2,3,4,537.17,1.19,5.1,0.8,1
Paid Search,2027-08-14 17:00:00,3,2,4,216.37,1.47,6.37,0.3,11
Email,2027-08-14 18:00:00,2,3,2,129.48,3.3,5.66,0.98,7
Affiliates,2027-08-14 19:00:00,4,3,4,192.06,0.61,1.3,0.63,18
Email,2027-08-14 20:00:00,2,4,2,126.7,3.54,3.16,0.67,4
Organic Search,2027-08-14 21:00:00,4,2,3,12.08,1.22,4.22,0.45,3
Direct,2027-08-14 22:00:00,4,1,5,39.67,1.15,3.2,0.22,15
Affiliates,2027-08-14 23:00:00,1,2,3,114.13,0.92,5.51,0.19,6
Direct,2027-08-15 00:00:00,4,1,1,404,0.75,3.65,0.69,6
Organic Search,2027-08-15 01:00:00,4,5,1,10.58,1.14,1.78,0.32,11
Social,2027-08-15 02:00:00,2,1,4,421.34,4.31,9.95,0.35,2
Organic Search,2027-08-15 03:00:00,4,1,3,94.01,3.01,2.2,0.24,4
Referral,2027-08-15 04:00:00,4,1,3,309.15,4.18,5.54,0.13,19
Display,2027-08-15 05:00:00,2,5,2,225.65,3.72,2.48,0.27,8
Email,2027-08-15 06:00:00,3,5,4,290.38,2.35,7.68,0.66,7
Affiliates,2027-08-15 07:00:00,1,3,5,406.89,4.12,3.16,0.18,10
Email,2027-08-15 08:00:00,2,1,3,125.24,3.5,6.95,0.12,11
Display,2027-08-15 09:00:00,4,2,3,102.88,4.6,4.92,0.17,16
Direct,2027-08-15 10:00:00,2,4,2,558.03,1.88,7.54,0.24,2
Social,2027-08-15 11:00:00,3,3,2,35.11,3.58,9.7,0.8,11
Referral,2027-08-15 12:00:00,2,1,5,317.67,1.92,3.48,0.99,15
Referral,2027-08-15 13:00:00,2,3,4,320.87,2.54,8.28,0.81,15
Paid Search,2027-08-15 14:00:00,2,1,2,22.93,4.65,3.55,0.32,1
Display,2027-08-15 15:00:00,2,1,1,248.79,3.21,9.92,0.38,5
Display,2027-08-15 16:00:00,4,3,3,270.23,1.34,7.54,0.42,15
Affiliates,2027-08-15 17:00:00,2,1,1,541.01,1.54,8.28,0.67,16
Organic Search,2027-08-15 18:00:00,3,1,1,61.91,1.97,1.84,0.48,19
Email,2027-08-15 19:00:00,2,4,3,449.76,1.17,1.35,0.55,1
Email,2027-08-15 20:00:00,2,2,3,351.59,1.54,5.82,0.79,10
Organic Search,2027-08-15 21:00:00,4,5,2,521.08,3.48,5.39,0.93,7
Display,2027-08-15 22:00:00,4,4,4,36.49,0.68,4.87,0.92,7
Social,2027-08-15 23:00:00,2,5,3,257.39,0.51,1.44,0.17,8
Referral,2027-08-16 00:00:00,4,5,4,338.24,4.68,2.53,0.51,10
Social,2027-08-16 01:00:00,4,2,3,96.58,4.78,1.02,0.58,16
Social,2027-08-16 02:00:00,2,4,1,120.97,1.31,7.22,0.95,4
Paid Search,2027-08-16 03:00:00,4,1,1,343.16,3.41,8.54,0.63,9
Organic Search,2027-08-16 04:00:00,1,2,5,355.35,3.5,9.59,0.82,4
Paid Search,2027-08-16 05:00:00,1,1,2,88.28,4.88,1.28,0.27,6
Organic Search,2027-08-16 06:00:00,1,1,2,291.08,4.57,7.22,0.59,6
Social,2027-08-16 07:00:00,4,1,3,96.03,3.81,3.35,0.88,4
Direct,2027-08-16 08:00:00,1,1,3,52.61,2.24,6.52,0.86,8
Affiliates,2027-08-16 09:00:00,3,4,2,477.9,3.86,9.86,0.12,3
Affiliates,2027-08-16 10:00:00,1,5,5,78.55,1.96,6.84,0.91,12
Social,2027-08-16 11:00:00,3,5,3,80.86,3.04,6.17,0.37,17
Referral,2027-08-16 12:00:00,4,4,4,358.51,3.97,6.17,0.72,13
Email,2027-08-16 13:00:00,1,5,3,169.24,2.5,7.73,0.61,19
Social,2027-08-16 14:00:00,3,2,4,320.51,1.49,3.61,0.8,15
Direct,2027-08-16 15:00:00,4,1,4,37.44,0.83,5.31,0.39,3
Paid Search,2027-08-16 16:00:00,1,1,1,349.75,0.62,2.86,0.46,14
Organic Search,2027-08-16 17:00:00,2,1,1,317.01,1.22,6.14,0.47,12
Paid Search,2027-08-16 18:00:00,1,3,5,579.47,2.71,3.78,0.86,14
Paid Search,2027-08-16 19:00:00,1,2,1,421.63,1.71,2.34,0.15,7
Display,2027-08-16 20:00:00,1,3,4,597.01,2.26,4.79,0.12,3
Paid Search,2027-08-16 21:00:00,2,4,5,499.46,1.68,2.05,0.43,16
Referral,2027-08-16 22:00:00,3,3,1,578.11,4.28,2.29,0.64,4
Direct,2027-08-16 23:00:00,3,5,1,540.03,2.91,9.76,0.72,8
Referral,2027-08-17 00:00:00,2,5,4,572.66,2.65,5.57,0.72,3
Email,2027-08-17 01:00:00,1,2,3,426.29,2.22,6.38,0.41,18
Affiliates,2027-08-17 02:00:00,1,3,5,95.32,2.38,5.65,0.28,16
Email,2027-08-17 03:00:00,1,3,1,546.03,4,9.18,0.22,9
Referral,2027-08-17 04:00:00,3,1,4,309.91,4.41,6.09,0.13,11
Social,2027-08-17 05:00:00,3,2,1,303.99,4.18,7.14,0.35,18
Paid Search,2027-08-17 06:00:00,2,1,3,333.22,3.52,7.5,0.97,10
Paid Search,2027-08-17 07:00:00,4,2,2,133.88,4.01,2.02,0.32,7
Paid Search,2027-08-17 08:00:00,2,2,5,133.22,2.75,1.94,0.22,13
Email,2027-08-17 09:00:00,3,3,5,344.9,1.71,6.2,0.6,19
Affiliates,2027-08-17 10:00:00,1,1,4,468.15,1.81,1.03,0.83,4
Organic Search,2027-08-17 11:00:00,1,4,4,69.93,4.96,9.3,0.61,3
Referral,2027-08-17 12:00:00,1,1,1,446.11,2.94,8.02,0.18,17
Social,2027-08-17 13:00:00,1,4,5,118.38,4.48,3.74,0.16,11
Affiliates,2027-08-17 14:00:00,4,5,1,254.54,3.99,7.46,0.63,5
Email,2027-08-17 15:00:00,2,2,2,51.52,3.49,4.34,0.57,14
Display,2027-08-17 16:00:00,2,1,5,373.36,0.67,2.35,0.98,5
Organic Search,2027-08-17 17:00:00,3,2,2,512.86,2.02,8.25,0.53,6
Paid Search,2027-08-17 18:00:00,2,1,1,282.08,1.41,8.15,0.85,12
Display,2027-08-17 19:00:00,4,5,3,516.63,0.93,9.18,0.15,4
Social,2027-08-17 20:00:00,4,1,2,423.04,1.46,4.75,0.3,3
Direct,2027-08-17 21:00:00,4,5,3,448.72,0.76,7.61,0.9,19
Display,2027-08-17 22:00:00,1,2,5,226.02,1.27,2.3,0.85,8
Direct,2027-08-17 23:00:00,3,3,3,209.37,0.96,6.22,0.62,15
Social,2027-08-18 00:00:00,4,4,3,88.52,3.49,2.01,0.22,12
Email,2027-08-18 01:00:00,2,2,1,349.55,1.44,2.56,0.97,14
Email,2027-08-18 02:00:00,2,3,1,592.74,2.45,9.46,0.27,11
Social,2027-08-18 03:00:00,2,2,1,326.51,3.78,5.81,0.78,6
Display,2027-08-18 04:00:00,4,2,1,327.84,3.67,5.22,0.16,3
Direct,2027-08-18 05:00:00,4,1,5,229.63,3.48,8.85,0.9,1
Organic Search,2027-08-18 06:00:00,2,5,1,153.07,0.83,6.48,0.43,7
Direct,2027-08-18 07:00:00,4,5,5,584.43,4.94,9.44,0.37,18
Paid Search,2027-08-18 08:00:00,2,1,5,260.96,3.25,3.49,0.89,11
Referral,2027-08-18 09:00:00,1,1,3,96.27,3.87,9.31,0.84,6
Email,2027-08-18 10:00:00,4,2,5,192.5,2.79,5.46,0.8,8
Social,2027-08-18 11:00:00,1,5,1,442.14,3.81,7.51,0.31,2
Display,2027-08-18 12:00:00,1,2,4,575.6,3.54,4.46,0.56,11
Direct,2027-08-18 13:00:00,4,3,3,152.3,2.78,9.19,0.62,9
Direct,2027-08-18 14:00:00,2,3,5,289.29,1.15,3.11,0.6,2
Referral,2027-08-18 15:00:00,3,1,3,192.02,2.8,3.54,0.55,10
Social,2027-08-18 16:00:00,1,5,5,204.24,0.8,8.29,0.8,5
Organic Search,2027-08-18 17:00:00,4,3,5,63.19,2.46,9.47,0.56,1
Affiliates,2027-08-18 18:00:00,1,5,3,361.72,1.11,6.87,0.43,7
Paid Search,2027-08-18 19:00:00,2,5,3,172.59,0.82,1.8,0.71,13
Affiliates,2027-08-18 20:00:00,4,4,2,139.3,1.58,9.99,0.98,5
Referral,2027-08-18 21:00:00,3,3,2,88.3,3.27,9.4,0.97,8
Social,2027-08-18 22:00:00,4,3,1,269.6,1.73,1.68,0.36,5
Referral,2027-08-18 23:00:00,1,2,5,249.11,3.93,3.09,0.65,3
Social,2027-08-19 00:00:00,4,2,3,457.39,3.35,8.27,0.32,15
Display,2027-08-19 01:00:00,4,5,4,257.06,1.32,5.13,0.32,2
Display,2027-08-19 02:00:00,1,1,3,567.36,0.66,1.09,0.32,19
Organic Search,2027-08-19 03:00:00,3,2,2,275.63,4.24,3.64,0.68,3
Email,2027-08-19 04:00:00,2,2,3,312.81,1.12,3.98,0.85,18
Social,2027-08-19 05:00:00,4,5,4,552.56,3.44,3.19,0.41,4
Affiliates,2027-08-19 06:00:00,3,3,3,76.69,1.97,9.4,0.41,4
Organic Search,2027-08-19 07:00:00,2,2,3,233.34,0.95,1.66,0.73,4
Organic Search,2027-08-19 08:00:00,1,1,4,117.8,2.04,8.72,0.92,12
Display,2027-08-19 09:00:00,3,5,2,326.9,1.63,5.36,0.49,14
Organic Search,2027-08-19 10:00:00,3,3,3,497.51,1.47,4.97,0.99,7
Referral,2027-08-19 11:00:00,4,4,2,535.83,4.24,1.64,0.13,18
Paid Search,2027-08-19 12:00:00,1,1,4,32.97,4.89,2.89,0.94,11
Organic Search,2027-08-19 13:00:00,4,3,3,231.52,0.63,2.89,0.48,2
Affiliates,2027-08-19 14:00:00,1,5,3,231.21,2.96,4.68,0.69,5
Email,2027-08-19 15:00:00,2,4,5,442.19,4.03,3.16,0.14,10
Paid Search,2027-08-19 16:00:00,4,1,1,498.91,0.69,9.99,0.42,11
Display,2027-08-19 17:00:00,1,2,4,208.24,3.13,2.99,0.71,14
Referral,2027-08-19 18:00:00,1,2,2,287.35,1.23,4.17,0.49,4
Email,2027-08-19 19:00:00,3,1,4,60.54,3.09,7.25,0.1,16
Direct,2027-08-19 20:00:00,4,2,5,60.63,3.73,3.71,0.65,15
Paid Search,2027-08-19 21:00:00,4,5,4,439.43,4.06,1.4,0.74,2
Social,2027-08-19 22:00:00,2,1,1,497.85,4.14,8.75,0.96,14
Paid Search,2027-08-19 23:00:00,1,1,4,173.24,1.02,4.44,0.96,13
Direct,2027-08-20 00:00:00,3,2,2,339.59,1.87,5.1,0.91,1
Organic Search,2027-08-20 01:00:00,1,1,2,324.68,4.91,8.08,0.73,5
Direct,2027-08-20 02:00:00,1,4,1,531.38,4.36,7.98,0.79,16
Direct,2027-08-20 03:00:00,1,1,5,51.3,3.76,8.91,0.74,4
Social,2027-08-20 04:00:00,4,2,3,381.5,3,8,0.29,9
Paid Search,2027-08-20 05:00:00,1,2,3,200.27,1.72,7.09,0.13,11
Affiliates,2027-08-20 06:00:00,2,2,1,462.44,3.98,6.42,0.64,8
Email,2027-08-20 07:00:00,3,2,1,98.19,0.9,7.25,0.14,9
Display,2027-08-20 08:00:00,3,5,2,417.67,3.68,7.64,0.4,1
Paid Search,2027-08-20 09:00:00,1,2,1,527.09,4.29,1.06,0.89,14
Display,2027-08-20 10:00:00,3,4,2,501.07,2.99,1.59,0.63,8
Organic Search,2027-08-20 11:00:00,1,1,4,571.83,4.37,7.24,0.5,13
Email,2027-08-20 12:00:00,4,3,2,84.38,1.07,3.85,0.99,19
Display,2027-08-20 13:00:00,3,3,2,381.68,1.27,7.84,0.18,11
Social,2027-08-20 14:00:00,4,5,4,51.12,0.98,6.57,0.55,8
Paid Search,2027-08-20 15:00:00,4,3,2,322.93,1.69,1.39,0.51,10
Email,2027-08-20 16:00:00,2,2,3,285.49,4.85,1.08,0.95,16
Social,2027-08-20 17:00:00,2,3,2,119.96,2.93,2.77,0.53,8
Paid Search,2027-08-20 18:00:00,3,4,1,49.47,2.02,2.87,0.15,8
Referral,2027-08-20 19:00:00,1,2,2,530.47,4.93,9.88,0.45,6
Referral,2027-08-20 20:00:00,1,3,4,361.19,3.17,3.3,0.13,2
Referral,2027-08-20 21:00:00,1,2,1,283.91,1.31,6.61,0.23,18
Display,2027-08-20 22:00:00,1,5,4,259.77,3.25,5.15,0.74,7
Display,2027-08-20 23:00:00,2,4,4,387.9,4.88,8.8,0.3,18
Email,2027-08-21 00:00:00,1,1,3,205.64,3.64,1.43,0.62,15
Organic Search,2027-08-21 01:00:00,1,2,5,438.36,3.16,1.12,0.39,16
Direct,2027-08-21 02:00:00,4,4,3,122.58,4.41,2.24,0.54,17
Email,2027-08-21 03:00:00,1,5,4,135.31,0.66,7.24,0.37,15
Paid Search,2027-08-21 04:00:00,1,5,4,544.09,4.47,6.94,0.51,8
Email,2027-08-21 05:00:00,2,4,4,215.78,0.91,1.05,0.12,19
Display,2027-08-21 06:00:00,3,3,4,465.13,0.58,2.33,0.15,15
Email,2027-08-21 07:00:00,4,4,4,35.31,0.87,6.42,0.46,12
Paid Search,2027-08-21 08:00:00,4,3,3,302.64,3.46,2.9,0.84,11
Affiliates,2027-08-21 09:00:00,3,3,5,274.2,2.96,6.88,0.52,3
Paid Search,2027-08-21 10:00:00,4,4,4,52.15,3.85,6.42,0.45,8
Email,2027-08-21 11:00:00,1,5,5,430.46,3.85,8.95,0.2,9
Affiliates,2027-08-21 12:00:00,1,1,1,203.38,2,4.2,0.56,13
Direct,2027-08-21 13:00:00,3,1,2,474.07,4.71,7.02,0.2,18
Organic Search,2027-08-21 14:00:00,2,4,4,158.15,4.18,4.9,0.88,19
Email,2027-08-21 15:00:00,2,2,4,191.92,3.77,8.91,0.4,6
Direct,2027-08-21 16:00:00,4,4,4,76.59,2.04,5.04,0.19,18
Social,2027-08-21 17:00:00,2,1,2,131.71,0.98,7.67,0.63,6
Direct,2027-08-21 18:00:00,2,4,5,572.89,3.21,4.09,0.83,17
Direct,2027-08-21 19:00:00,2,5,3,380.32,2.92,8.57,0.14,3
Paid Search,2027-08-21 20:00:00,2,1,4,488.52,0.56,8.57,0.4,13
Paid Search,2027-08-21 21:00:00,2,1,2,68.66,0.64,1.85,0.26,2
Paid Search,2027-08-21 22:00:00,2,1,1,290.55,3.95,2.85,0.65,10
Social,2027-08-21 23:00:00,2,5,2,15.02,2.23,5.88,0.46,16
Direct,2027-08-22 00:00:00,4,1,4,60.94,1.41,6.8,0.67,5
Social,2027-08-22 01:00:00,1,2,5,108.65,1.25,5.79,0.68,18
Paid Search,2027-08-22 02:00:00,2,1,5,402.35,3.55,1.3,0.74,8
Social,2027-08-22 03:00:00,1,4,1,321.61,1.79,1.68,0.18,8
Paid Search,2027-08-22 04:00:00,3,2,4,508.07,1.96,6.49,0.74,2
Social,2027-08-22 05:00:00,1,3,1,276.02,2.67,5.07,0.85,5
Organic Search,2027-08-22 06:00:00,3,1,1,363.41,2.49,4.58,0.13,9
Paid Search,2027-08-22 07:00:00,4,3,4,380.68,4.28,2.26,0.36,13
Referral,2027-08-22 08:00:00,1,3,5,53.65,3.03,1.44,0.53,13
Email,2027-08-22 09:00:00,3,5,5,523.04,4.74,1.68,0.33,19
Display,2027-08-22 10:00:00,1,4,5,294.65,2.2,3.08,0.91,2
Referral,2027-08-22 11:00:00,4,4,5,416.79,4.25,3.33,0.38,10
Paid Search,2027-08-22 12:00:00,1,3,5,271.89,3.51,2.64,0.2,11
Social,2027-08-22 13:00:00,3,5,1,342.59,4.93,3.02,0.19,1
Direct,2027-08-22 14:00:00,2,2,3,289.28,1.99,6.01,0.9,10
Display,2027-08-22 15:00:00,2,1,4,399.63,3.81,5.6,0.77,15
Email,2027-08-22 16:00:00,2,2,3,75.73,3.43,6.4,0.12,10
Direct,2027-08-22 17:00:00,4,1,1,388.7,3.53,9.81,0.52,5
Organic Search,2027-08-22 18:00:00,2,3,4,469.76,3.57,5.24,0.25,14
Paid Search,2027-08-22 19:00:00,4,5,1,49.12,1.61,8.09,0.45,17
Direct,2027-08-22 20:00:00,2,5,4,349.2,1.56,3.88,0.17,7
Organic Search,2027-08-22 21:00:00,4,4,2,54.89,2.46,8.72,0.33,18
Paid Search,2027-08-22 22:00:00,4,4,1,165.67,1.78,9.45,0.51,11
Affiliates,2027-08-22 23:00:00,1,2,1,154.45,1.23,3.08,0.12,2
Social,2027-08-23 00:00:00,2,4,2,543.61,4.74,8.88,0.65,6
Organic Search,2027-08-23 01:00:00,1,1,5,139.6,2.2,8.32,0.48,11
Direct,2027-08-23 02:00:00,3,5,2,159.69,1.15,3.54,0.66,3
Organic Search,2027-08-23 03:00:00,2,5,2,265.25,1.37,7.69,0.52,16
Social,2027-08-23 04:00:00,2,3,3,60.1,2.81,6.36,0.89,18
Social,2027-08-23 05:00:00,2,3,3,235.13,1.77,5.58,0.3,11
Display,2027-08-23 06:00:00,2,2,5,358.15,4.26,5.83,0.59,9
Display,2027-08-23 07:00:00,1,3,3,102.19,2.27,7.71,0.61,3
Display,2027-08-23 08:00:00,1,1,5,560.19,3.82,4.26,0.41,8
Email,2027-08-23 09:00:00,4,4,2,199.44,1.92,5.66,0.98,13
Social,2027-08-23 10:00:00,1,4,3,206.21,0.53,5.08,0.24,2
Paid Search,2027-08-23 11:00:00,4,2,5,271.61,2.92,7.95,0.84,11
Direct,2027-08-23 12:00:00,3,4,5,168.87,1.37,7.37,0.1,13
Affiliates,2027-08-23 13:00:00,1,5,3,413.05,1.17,4.95,0.31,7
Direct,2027-08-23 14:00:00,4,4,4,228.66,0.9,5.51,0.88,4
Paid Search,2027-08-23 15:00:00,2,3,3,177.7,4.23,8.35,0.77,4
Referral,2027-08-23 16:00:00,3,5,5,63.84,3.09,5.9,0.43,9
Display,2027-08-23 17:00:00,4,3,4,426.88,3.55,6.25,0.5,3
Affiliates,2027-08-23 18:00:00,3,3,3,328.73,3.1,9.57,0.59,7
Email,2027-08-23 19:00:00,2,2,2,576.02,3.03,2.34,0.3,8
Paid Search,2027-08-23 20:00:00,2,2,1,108.94,3.89,5.81,0.13,5
Display,2027-08-23 21:00:00,4,5,3,160.39,4.75,4.42,0.85,8
Social,2027-08-23 22:00:00,4,4,3,538.42,1.65,2.32,0.77,16
Social,2027-08-23 23:00:00,2,1,1,588.22,3.35,6.42,0.55,18
Paid Search,2027-08-24 00:00:00,4,4,4,103.57,3.95,1.29,0.97,11
Email,2027-08-24 01:00:00,2,5,1,89.42,3.72,7,0.46,3
Referral,2027-08-24 02:00:00,1,1,4,576.58,3.86,3.51,0.23,11
Direct,2027-08-24 03:00:00,4,3,5,579.15,4.37,2.48,0.65,6
Paid Search,2027-08-24 04:00:00,3,3,4,509.48,3.09,6.63,0.73,18
Organic Search,2027-08-24 05:00:00,2,1,2,353.39,1.64,3.9,0.42,13
Paid Search,2027-08-24 06:00:00,1,3,1,460.06,1.53,4.53,0.42,7
Paid Search,2027-08-24 07:00:00,4,4,2,468.74,4.43,7.43,0.31,8
Referral,2027-08-24 08:00:00,2,2,2,236.8,4.78,2.02,0.46,6
Organic Search,2027-08-24 09:00:00,1,4,1,384.76,2.21,6.23,0.51,3
Email,2027-08-24 10:00:00,4,3,4,564.45,1.63,9.68,0.96,4
Direct,2027-08-24 11:00:00,2,2,2,244.18,0.95,1.37,0.96,11
Referral,2027-08-24 12:00:00,2,4,2,166.77,0.57,3.01,0.9,2
Paid Search,2027-08-24 13:00:00,2,3,4,458.71,0.96,8.2,0.21,1
Email,2027-08-24 14:00:00,4,4,2,565.08,5,8.71,0.76,8
Display,2027-08-24 15:00:00,1,3,3,346,0.68,4.86,0.15,10
Direct,2027-08-24 16:00:00,2,5,1,384.25,4.39,2.51,0.82,17
Referral,2027-08-24 17:00:00,1,1,4,188.01,2.67,5.26,0.67,10
Social,2027-08-24 18:00:00,1,3,3,243.07,4.34,6.67,0.98,10
Direct,2027-08-24 19:00:00,3,4,3,333.1,2.4,3.21,0.68,2
Social,2027-08-24 20:00:00,1,3,4,526.89,2.7,1.72,0.89,10
Organic Search,2027-08-24 21:00:00,1,3,5,532.74,3.48,3.09,0.52,18
Direct,2027-08-24 22:00:00,1,4,2,391.94,4.57,4.72,0.85,7
Direct,2027-08-24 23:00:00,1,4,2,342.15,3.99,4.67,0.46,16
Social,2027-08-25 00:00:00,1,2,5,336.79,1.24,5.94,0.62,16
Display,2027-08-25 01:00:00,4,3,5,20.92,3.93,4.71,0.68,18
Direct,2027-08-25 02:00:00,3,5,5,389.91,4.45,4.5,0.28,8
Display,2027-08-25 03:00:00,2,1,2,147.54,1.61,6.63,0.5,13
Affiliates,2027-08-25 04:00:00,3,3,1,179.7,1.38,4.25,0.96,9
Paid Search,2027-08-25 05:00:00,3,4,2,576.2,1.42,2.79,0.62,17
Referral,2027-08-25 06:00:00,2,2,1,168.63,2.95,9.52,0.51,15
Direct,2027-08-25 07:00:00,1,3,2,556.52,0.85,6.95,0.19,10
Organic Search,2027-08-25 08:00:00,2,5,1,306.4,4.98,2.48,0.15,7
Direct,2027-08-25 09:00:00,1,4,1,66.42,4.7,7.26,0.2,8
Email,2027-08-25 10:00:00,2,5,3,105.69,4.87,1.66,0.66,15
Referral,2027-08-25 11:00:00,4,5,2,109.7,2.67,4.08,0.98,9
Social,2027-08-25 12:00:00,3,1,1,189.16,1.33,1.54,0.5,2
Direct,2027-08-25 13:00:00,1,1,3,229.29,4.28,9.18,0.82,1
Referral,2027-08-25 14:00:00,3,3,2,283.98,4.43,2.25,0.73,11
Display,2027-08-25 15:00:00,1,1,1,352.34,2.29,5.13,0.4,15
Affiliates,2027-08-25 16:00:00,2,3,3,474.43,3.78,8.26,0.36,12
Organic Search,2027-08-25 17:00:00,2,3,5,167.48,4.01,5.6,0.79,4
Affiliates,2027-08-25 18:00:00,2,4,1,208.37,3.37,9.55,0.25,2
Affiliates,2027-08-25 19:00:00,4,4,3,463.88,4.44,5.09,0.53,13
Display,2027-08-25 20:00:00,2,2,1,347.05,1.39,1.35,0.47,13
Organic Search,2027-08-25 21:00:00,2,1,2,435.08,2.4,2.14,0.74,5
Social,2027-08-25 22:00:00,4,2,3,404.39,4.07,8.98,0.71,1
Direct,2027-08-25 23:00:00,3,5,2,117.98,3.81,6.27,0.1,6
Referral,2027-08-26 00:00:00,3,3,3,355.14,4.37,1.56,0.89,17
